2026-06-08 18:24:30 | INFO     | src.data.loader | Data loaded   Samples=569  Features=30  Benign=357  Malignant=212
2026-06-08 18:24:30 | INFO     | src.data.loader | Loading data  source=sklearn
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Loaded dataset from sklearn  (569 samples, 30 features)
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Data validation passed ✔
2026-06-08 18:24:30 | INFO     | src.data.loader | Data loaded   Samples=569  Features=30  Benign=357  Malignant=212
2026-06-08 18:24:30 | INFO     | src.data.loader | Loading data  source=sklearn
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Loaded dataset from sklearn  (569 samples, 30 features)
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Data validation passed ✔
2026-06-08 18:24:30 | INFO     | src.data.loader | Data loaded   Samples=569  Features=30  Benign=357  Malignant=212
2026-06-08 18:24:30 | INFO     | src.data.loader | Loading data  source=unknown
2026-06-08 18:24:30 | INFO     | src.data.loader | Loading data  source=csv
2026-06-08 18:24:30 | INFO     | src.data.loader | Loading data  source=sklearn
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Loaded dataset from sklearn  (569 samples, 30 features)
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Data validation passed ✔
2026-06-08 18:24:30 | INFO     | src.data.loader | Data loaded   Samples=569  Features=30  Benign=357  Malignant=212
2026-06-08 18:24:30 | INFO     | src.data.splitter | Split  train=398  test=171  test_ratio=0.30  stratified=True
2026-06-08 18:24:30 | INFO     | src.data.loader | Loading data  source=sklearn
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Loaded dataset from sklearn  (569 samples, 30 features)
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Data validation passed ✔
2026-06-08 18:24:30 | INFO     | src.data.loader | Data loaded   Samples=569  Features=30  Benign=357  Malignant=212
2026-06-08 18:24:30 | INFO     | src.data.splitter | Split  train=398  test=171  test_ratio=0.30  stratified=True
2026-06-08 18:24:30 | INFO     | src.data.loader | Loading data  source=sklearn
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Loaded dataset from sklearn  (569 samples, 30 features)
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Data validation passed ✔
2026-06-08 18:24:30 | INFO     | src.data.loader | Data loaded   Samples=569  Features=30  Benign=357  Malignant=212
2026-06-08 18:24:30 | INFO     | src.data.splitter | Split  train=398  test=171  test_ratio=0.30  stratified=True
2026-06-08 18:24:30 | INFO     | src.data.splitter | Split  train=398  test=171  test_ratio=0.30  stratified=True
2026-06-08 18:24:30 | INFO     | src.data.loader | Loading data  source=sklearn
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Loaded dataset from sklearn  (569 samples, 30 features)
2026-06-08 18:24:30 | DEBUG    | src.data.loader | Data validation passed ✔
2026-06-08 18:24:30 | INFO     | src.data.loader | Data loaded   Samples=569  Features=30  Benign=357  Malignant=212
2026-06-08 18:24:30 | DEBUG    | src.features.preprocessor | Preprocessor fitted on 569 samples, 30 features
2026-06-08 18:24:30 | DEBUG    | src.features.preprocessor | Preprocessor fitted on 569 samples, 30 features
